Time,Power
0,50.22531026270958
1,54.39152240710283
2,54.32687027699856
3,54.3837261851226
4,59.09998094834209
5,57.93205124394343
6,59.76429003004132
7,63.38856094297353
8,61.281971352493684
9,58.860896808553235
10,58.28706351374101
11,55.89984778001295
12,59.12115012662477
13,57.85602808937218
14,53.26768301799113
15,49.13043725931113
16,49.924679337469534
17,48.88577849271679
18,46.72169763513434
19,42.990472435024714
20,43.08464210625445
21,40.151299831610174
22,43.66640784886425
23,39.19563416623192
24,41.11967821306142
25,43.076590108978905
26,45.12905077872303
27,45.49321069846405
28,43.42038640324578
29,42.670517217995034
30,48.4756535875808
31,48.72621628381867
32,50.717533499383656
33,53.97180777844439
34,52.08708820819933
35,55.17835455158189
36,58.467910193045306
37,61.545090390910225
38,60.90472245782503
39,64.98463407126494
40,59.35676302854759
41,59.02150260022868
42,58.16864538919308
43,58.191204686530014
44,54.89927479733401
45,57.255924748370674
46,51.35225919768
47,52.01379137038948
48,48.583391971847256
49,45.296941273064135
50,44.30865720510131
51,42.36855132296965
52,39.07164588671979
53,40.521137079262246
54,39.10940346691077
55,37.869369332508384
56,38.647358661942505
57,40.03091616124617
58,41.34015687251204
59,40.91856237289755
60,45.879617003434234
61,48.63980740730495
62,48.71318185565679
63,55.075503784547486
64,50.912643859326195
65,56.25920859088146
66,58.23870699984778
67,57.746465782322474
68,59.16591409277577
69,60.666128418507476
70,58.89686339507045
71,59.60817343071722
72,58.42485840071797
73,57.15011876961154
74,58.477210844138234
75,54.59541617189587
76,54.33695278995623
77,52.68615499818594
78,53.27559900886059
79,46.333694564695854
80,49.73076906475095
81,45.485198704074364
82,42.7976641736775
83,45.65433945542718
84,40.04578396571803
85,38.513013411822115
86,39.814217693763815
87,35.93457274490925
88,37.30599186242117
89,41.26189110373017
90,38.78491300532526
91,43.03530037781808
92,43.60683543205732
93,45.766072076985594
94,48.93026039815655
95,51.24836002938666
96,52.605121374591576
97,53.28447799308853
98,54.87895499873786
99,58.35778997993743
