Time,Power
0,52.82544690172864
1,50.66093213814521
2,53.263221690628654
3,56.712447715291376
4,52.87694099952627
5,59.27992487766634
6,55.80951837437408
7,62.38012333641291
8,57.69836819271109
9,59.55262534982578
10,56.8152986365568
11,61.48450297723509
12,53.885629498188266
13,57.78171292328956
14,51.165141587954615
15,51.0255226320229
16,46.776463049080625
17,46.01956671422898
18,48.236824455045095
19,42.13440884896126
20,44.542670987430725
21,39.00509679800937
22,41.44360829007293
23,42.66087808704185
24,39.06363581263641
25,44.30907034539123
26,41.10453622313484
27,41.544970369196726
28,42.344968272586996
29,48.67300638557546
30,52.34983673641786
31,50.205695900468626
32,50.779770828496765
33,54.81839173669064
34,53.8282417039498
35,54.56777616910249
36,55.52075572724189
37,59.71815587970004
38,61.92466251539604
39,58.808260453931034
40,62.56797540247194
41,57.86070356158195
42,58.52571692562291
43,55.9795805444535
44,54.005533175197904
45,50.576759113329295
46,50.6948194357945
47,50.096478482535744
48,48.65658842944828
49,46.450190728808295
50,42.141506766977564
51,44.25696489431757
52,39.716952284936184
53,38.95161147103682
54,42.3739144152294
55,42.455252001913394
56,36.438190314209464
57,35.77503319341661
58,40.0307645171211
59,43.00959820921003
60,45.258777962647905
61,45.92710947932291
62,49.96279444924041
63,49.07752794313227
64,52.816641818698415
65,54.28503605391422
66,57.62244273156927
67,58.442595859798224
68,61.52348261593612
69,58.08645918761865
70,62.45513787328541
71,58.55495436195002
72,56.82336159412171
73,59.687573218042445
74,58.40697973717786
75,55.676454843564585
76,52.38001077135531
77,52.98453240371908
78,53.26922583716672
79,48.14798294693023
80,47.19173362517657
81,46.71581805908298
82,46.61374963247299
83,41.636609097002825
84,43.95689886857873
85,38.77295451134747
86,40.13414749667789
87,38.53250513781815
88,38.661594084563845
89,43.01232022827674
90,45.737502630737744
91,41.832031376340396
92,44.42663164442401
93,46.683161846227804
94,53.5719961865002
95,50.862706901804124
96,51.91550279931889
97,52.489051648753716
98,52.81878725247523
99,56.82169601571138
